"closure_id","status","terminal_result"
"C7-STATE-01","CLOSED_PASS","Terminal FAILED registry and witness preserved"
"C7-CLEAN-01","CLOSED_PASS","Runtime cleanup previously proven"
"C7-SEC-03","CLOSED_PASS","No active encrypted integration dependencies"
"C7-EVID-02","CLOSED_PASS","Restricted screenshot controlled by hash"
"C7-BACKUP-01","CLOSED_PASS","Validated pre-rotation backup"
"C7-SEC-02","CLOSED_PASS","Persistent host-managed secret bound"
"C7-RUNTIME-01","CLOSED_PASS","Open WebUI recreated once and restored"
"C7-SEC-01","CLOSED_PASS","Exposed JWT invalidated"
"C7-EVID-01","CLOSED_PASS","Plaintext token copies reduced to zero"
"C7-DOC-01","CLOSED_PASS","Closeout records published"
"C7-GIT-01","CLOSEOUT_PUBLICATION_COMMIT_COMPONENT_PREPARED","Terminal proof is the external transaction evidence set created after commit, recovery bundle, snapshot, and exact-SHA push"
"RCA-R2-01","BLOCKED_MISSING_EXACT_SOURCE","Permanent RCA separate from Candidate-v7 closeout"
"PERM-FIX-01","BLOCKED_BY_RCA","Candidate-v8 implementation not authorized"
"PERM-TEST-01","BLOCKED_BY_IMPLEMENTATION","Future non-counted rehearsal not authorized"
